datetime,datetime_nano,SHFE.rb2607.open,SHFE.rb2607.high,SHFE.rb2607.low,SHFE.rb2607.close,SHFE.rb2607.volume,SHFE.rb2607.open_oi,SHFE.rb2607.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,3153,3166,3153,3157,1025,147145,147862
2026-01-05 09:01:00.000000000,1767574860000000000,3157,3161,3153,3158,80,147862,147842
2026-01-05 09:02:00.000000000,1767574920000000000,3158,3162,3158,3160,83,147842,147837
2026-01-05 09:03:00.000000000,1767574980000000000,3160,3161,3156,3158,45,147837,147827
2026-01-05 09:04:00.000000000,1767575040000000000,3158,3158,3157,3157,33,147827,147827
2026-01-05 09:05:00.000000000,1767575100000000000,3157,3158,3156,3157,42,147827,147821
2026-01-05 09:06:00.000000000,1767575160000000000,3157,3158,3155,3158,76,147821,147801
2026-01-05 09:07:00.000000000,1767575220000000000,3158,3158,3158,3158,41,147801,147779
2026-01-05 09:08:00.000000000,1767575280000000000,3158,3159,3158,3158,11,147779,147772
2026-01-05 09:09:00.000000000,1767575340000000000,3158,3159,3158,3158,26,147772,147772
2026-01-05 09:10:00.000000000,1767575400000000000,3158,3158,3155,3156,126,147772,147835
2026-01-05 09:11:00.000000000,1767575460000000000,3156,3156,3155,3155,1,147835,147834
2026-01-05 09:12:00.000000000,1767575520000000000,3155,3158,3155,3158,44,147834,147836
2026-01-05 09:13:00.000000000,1767575580000000000,3158,3158,3157,3157,75,147836,147851
2026-01-05 09:14:00.000000000,1767575640000000000,3157,3158,3157,3158,16,147851,147852
2026-01-05 09:15:00.000000000,1767575700000000000,3158,3160,3158,3159,154,147852,147835
2026-01-05 09:16:00.000000000,1767575760000000000,3159,3159,3159,3159,6,147835,147835
2026-01-05 09:17:00.000000000,1767575820000000000,3159,3159,3159,3159,1,147835,147835
2026-01-05 09:18:00.000000000,1767575880000000000,3159,3160,3159,3160,11,147835,147835
2026-01-05 09:19:00.000000000,1767575940000000000,3160,3161,3159,3159,11,147835,147836
2026-01-05 09:20:00.000000000,1767576000000000000,3159,3159,3159,3159,0,147836,147836
2026-01-05 09:21:00.000000000,1767576060000000000,3159,3159,3158,3159,8,147836,147841
2026-01-05 09:22:00.000000000,1767576120000000000,3159,3159,3159,3159,1,147841,147841
2026-01-05 09:23:00.000000000,1767576180000000000,3159,3160,3159,3160,9,147841,147840
2026-01-05 09:24:00.000000000,1767576240000000000,3160,3161,3160,3161,11,147840,147835
2026-01-05 09:25:00.000000000,1767576300000000000,3161,3162,3161,3162,44,147835,147846
2026-01-05 09:26:00.000000000,1767576360000000000,3162,3162,3161,3161,3,147846,147845
2026-01-05 09:27:00.000000000,1767576420000000000,3161,3162,3161,3162,4,147845,147843
2026-01-05 09:28:00.000000000,1767576480000000000,3162,3162,3161,3161,8,147843,147847
2026-01-05 09:29:00.000000000,1767576540000000000,3161,3161,3159,3159,93,147847,147854
2026-01-05 09:30:00.000000000,1767576600000000000,3159,3160,3157,3158,109,147854,147949
2026-01-05 09:31:00.000000000,1767576660000000000,3158,3158,3153,3154,97,147949,147969
2026-01-05 09:32:00.000000000,1767576720000000000,3154,3154,3154,3154,21,147969,147970
2026-01-05 09:33:00.000000000,1767576780000000000,3154,3154,3151,3153,280,147970,148064
2026-01-05 09:34:00.000000000,1767576840000000000,3153,3153,3152,3152,31,148064,148083
2026-01-05 09:35:00.000000000,1767576900000000000,3152,3153,3148,3150,118,148083,148115
2026-01-05 09:36:00.000000000,1767576960000000000,3150,3152,3150,3152,48,148115,148131
2026-01-05 09:37:00.000000000,1767577020000000000,3152,3152,3152,3152,5,148131,148136
2026-01-05 09:38:00.000000000,1767577080000000000,3152,3152,3151,3151,12,148136,148141
2026-01-05 09:39:00.000000000,1767577140000000000,3151,3151,3151,3151,7,148141,148144
2026-01-05 09:40:00.000000000,1767577200000000000,3151,3152,3151,3152,52,148144,148162
2026-01-05 09:41:00.000000000,1767577260000000000,3152,3152,3150,3150,84,148162,148201
2026-01-05 09:42:00.000000000,1767577320000000000,3150,3150,3150,3150,6,148201,148198
2026-01-05 09:43:00.000000000,1767577380000000000,3150,3150,3149,3149,20,148198,148208
2026-01-05 09:44:00.000000000,1767577440000000000,3149,3149,3148,3148,24,148208,148222
2026-01-05 09:45:00.000000000,1767577500000000000,3148,3148,3146,3146,104,148222,148243
2026-01-05 09:46:00.000000000,1767577560000000000,3146,3148,3146,3148,19,148243,148243
2026-01-05 09:47:00.000000000,1767577620000000000,3148,3148,3146,3147,28,148243,148258
2026-01-05 09:48:00.000000000,1767577680000000000,3147,3147,3144,3145,80,148258,148311
2026-01-05 09:49:00.000000000,1767577740000000000,3145,3147,3144,3146,43,148311,148311
2026-01-05 09:50:00.000000000,1767577800000000000,3146,3146,3145,3146,54,148311,148314
2026-01-05 09:51:00.000000000,1767577860000000000,3146,3146,3145,3145,16,148314,148322
2026-01-05 09:52:00.000000000,1767577920000000000,3145,3145,3145,3145,1,148322,148323
2026-01-05 09:53:00.000000000,1767577980000000000,3145,3146,3145,3146,19,148323,148334
2026-01-05 09:54:00.000000000,1767578040000000000,3146,3148,3146,3148,40,148334,148361
2026-01-05 09:55:00.000000000,1767578100000000000,3148,3148,3147,3147,13,148361,148358
2026-01-05 09:56:00.000000000,1767578160000000000,3147,3147,3146,3147,11,148358,148360
2026-01-05 09:57:00.000000000,1767578220000000000,3147,3147,3146,3147,11,148360,148360
2026-01-05 09:58:00.000000000,1767578280000000000,3147,3148,3147,3148,55,148360,148377
2026-01-05 09:59:00.000000000,1767578340000000000,3148,3148,3147,3148,95,148377,148340
2026-01-05 10:00:00.000000000,1767578400000000000,3148,3148,3147,3147,7,148340,148342
2026-01-05 10:01:00.000000000,1767578460000000000,3147,3147,3145,3145,30,148342,148354
2026-01-05 10:02:00.000000000,1767578520000000000,3145,3147,3145,3147,29,148354,148361
2026-01-05 10:03:00.000000000,1767578580000000000,3147,3148,3147,3148,23,148361,148373
2026-01-05 10:04:00.000000000,1767578640000000000,3148,3148,3147,3147,14,148373,148371
2026-01-05 10:05:00.000000000,1767578700000000000,3147,3147,3144,3144,62,148371,148404
2026-01-05 10:06:00.000000000,1767578760000000000,3144,3144,3144,3144,13,148404,148416
2026-01-05 10:07:00.000000000,1767578820000000000,3144,3144,3143,3144,32,148416,148415
2026-01-05 10:08:00.000000000,1767578880000000000,3144,3144,3141,3142,129,148415,148441
2026-01-05 10:09:00.000000000,1767578940000000000,3142,3143,3142,3142,32,148441,148465
2026-01-05 10:10:00.000000000,1767579000000000000,3142,3143,3142,3142,27,148465,148479
2026-01-05 10:11:00.000000000,1767579060000000000,3142,3143,3141,3141,26,148479,148493
2026-01-05 10:12:00.000000000,1767579120000000000,3141,3142,3140,3142,159,148493,148488
2026-01-05 10:13:00.000000000,1767579180000000000,3142,3143,3141,3143,282,148488,148431
2026-01-05 10:14:00.000000000,1767579240000000000,3143,3143,3141,3141,42,148431,148416
2026-01-05 10:30:00.000000000,1767580200000000000,3141,3146,3141,3145,102,148416,148432
2026-01-05 10:31:00.000000000,1767580260000000000,3145,3147,3144,3146,52,148432,148425
2026-01-05 10:32:00.000000000,1767580320000000000,3146,3147,3146,3146,13,148425,148425
2026-01-05 10:33:00.000000000,1767580380000000000,3146,3146,3146,3146,137,148425,148455
2026-01-05 10:34:00.000000000,1767580440000000000,3146,3149,3146,3149,75,148455,148465
2026-01-05 10:35:00.000000000,1767580500000000000,3149,3150,3149,3150,64,148465,148487
2026-01-05 10:36:00.000000000,1767580560000000000,3150,3152,3150,3151,41,148487,148479
