datetime,datetime_nano,KQ.i@SHFE.cu.open,KQ.i@SHFE.cu.high,KQ.i@SHFE.cu.low,KQ.i@SHFE.cu.close,KQ.i@SHFE.cu.volume,KQ.i@SHFE.cu.open_oi,KQ.i@SHFE.cu.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,99335,100092,99242,100075,18753,617743,617686
2026-01-05 09:01:00.000000000,1767574860000000000,100075,100093,99615,99710,8724,617686,617579
2026-01-05 09:02:00.000000000,1767574920000000000,99710,99770,99364,99364,5545,617579,617544
2026-01-05 09:03:00.000000000,1767574980000000000,99364,99678,99356,99482,5583,617544,618048
2026-01-05 09:04:00.000000000,1767575040000000000,99482,100085,99482,100084,6949,618048,618066
2026-01-05 09:05:00.000000000,1767575100000000000,100084,100118,99828,99963,7781,618066,619116
2026-01-05 09:06:00.000000000,1767575160000000000,99963,100141,99941,100125,5506,619116,620113
2026-01-05 09:07:00.000000000,1767575220000000000,100125,100359,100110,100307,6738,620113,621566
2026-01-05 09:08:00.000000000,1767575280000000000,100307,100313,100061,100239,5788,621566,622631
2026-01-05 09:09:00.000000000,1767575340000000000,100239,100258,100068,100115,2742,622631,622930
2026-01-05 09:10:00.000000000,1767575400000000000,100115,100130,99841,99880,3029,622930,622842
2026-01-05 09:11:00.000000000,1767575460000000000,99880,99884,99725,99751,3129,622842,622914
2026-01-05 09:12:00.000000000,1767575520000000000,99751,99791,99591,99669,3449,622914,622820
2026-01-05 09:13:00.000000000,1767575580000000000,99669,99771,99648,99691,2401,622820,622864
2026-01-05 09:14:00.000000000,1767575640000000000,99691,99919,99652,99895,2304,622864,622938
2026-01-05 09:15:00.000000000,1767575700000000000,99895,99991,99865,99965,2731,622938,623042
2026-01-05 09:16:00.000000000,1767575760000000000,99965,100114,99965,100052,3102,623042,623326
2026-01-05 09:17:00.000000000,1767575820000000000,100052,100059,99759,99836,2674,623326,623431
2026-01-05 09:18:00.000000000,1767575880000000000,99836,99889,99721,99820,1622,623431,623490
2026-01-05 09:19:00.000000000,1767575940000000000,99820,99820,99634,99711,1828,623490,623430
2026-01-05 09:20:00.000000000,1767576000000000000,99711,99861,99654,99799,1651,623430,623607
2026-01-05 09:21:00.000000000,1767576060000000000,99799,100034,99799,99998,2291,623607,623616
2026-01-05 09:22:00.000000000,1767576120000000000,99998,100108,99977,100108,1969,623616,623991
2026-01-05 09:23:00.000000000,1767576180000000000,100108,100141,100035,100037,2346,623991,624315
2026-01-05 09:24:00.000000000,1767576240000000000,100037,100125,99981,100125,1344,624315,624540
2026-01-05 09:25:00.000000000,1767576300000000000,100125,100242,100120,100220,2634,624540,625128
2026-01-05 09:26:00.000000000,1767576360000000000,100220,100293,100090,100149,3290,625128,625619
