datetime,datetime_nano,KQ.m@SHFE.cu.open,KQ.m@SHFE.cu.high,KQ.m@SHFE.cu.low,KQ.m@SHFE.cu.close,KQ.m@SHFE.cu.volume,KQ.m@SHFE.cu.open_oi,KQ.m@SHFE.cu.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,99400,100140,99150,100060,7562,208246,208031
2026-01-05 09:01:00.000000000,1767574860000000000,100060,100080,99550,99640,3629,208031,207575
2026-01-05 09:02:00.000000000,1767574920000000000,99640,99750,99310,99320,2347,207575,207380
2026-01-05 09:03:00.000000000,1767574980000000000,99320,99670,99320,99440,2100,207380,207357
2026-01-05 09:04:00.000000000,1767575040000000000,99440,100050,99430,100050,2988,207357,207009
2026-01-05 09:05:00.000000000,1767575100000000000,100050,100090,99770,99900,3227,207009,207361
2026-01-05 09:06:00.000000000,1767575160000000000,99900,100120,99900,100120,2579,207361,208074
2026-01-05 09:07:00.000000000,1767575220000000000,100120,100360,100100,100270,3013,208074,209093
2026-01-05 09:08:00.000000000,1767575280000000000,100270,100360,100000,100230,2585,209093,209915
2026-01-05 09:09:00.000000000,1767575340000000000,100230,100260,100040,100110,1147,209915,210003
2026-01-05 09:10:00.000000000,1767575400000000000,100110,100130,99800,99850,1387,210003,209909
2026-01-05 09:11:00.000000000,1767575460000000000,99850,99880,99690,99730,1630,209909,209962
2026-01-05 09:12:00.000000000,1767575520000000000,99730,99770,99540,99650,1733,209962,209906
2026-01-05 09:13:00.000000000,1767575580000000000,99650,99770,99620,99680,1080,209906,209764
2026-01-05 09:14:00.000000000,1767575640000000000,99680,99910,99620,99880,1053,209764,209775
2026-01-05 09:15:00.000000000,1767575700000000000,99880,99980,99850,99970,948,209775,209741
2026-01-05 09:16:00.000000000,1767575760000000000,99970,100100,99970,100030,1204,209741,209850
2026-01-05 09:17:00.000000000,1767575820000000000,100030,100050,99720,99830,1194,209850,209991
2026-01-05 09:18:00.000000000,1767575880000000000,99830,99890,99720,99800,643,209991,209981
2026-01-05 09:19:00.000000000,1767575940000000000,99800,99800,99620,99730,917,209981,209877
2026-01-05 09:20:00.000000000,1767576000000000000,99730,99860,99640,99800,684,209877,209851
2026-01-05 09:21:00.000000000,1767576060000000000,99800,100040,99800,99990,1259,209851,209799
2026-01-05 09:22:00.000000000,1767576120000000000,99990,100130,99970,100130,1053,209799,210007
2026-01-05 09:23:00.000000000,1767576180000000000,100130,100150,100020,100040,1097,210007,210134
2026-01-05 09:24:00.000000000,1767576240000000000,100040,100140,99970,100130,618,210134,210239
2026-01-05 09:25:00.000000000,1767576300000000000,100130,100250,100130,100220,1226,210239,210508
2026-01-05 09:26:00.000000000,1767576360000000000,100220,100300,100070,100150,1159,210508,210719
2026-01-05 09:27:00.000000000,1767576420000000000,100150,100160,100010,100160,829,210719,210673
2026-01-05 09:28:00.000000000,1767576480000000000,100160,100260,100120,100240,574,210673,210728
2026-01-05 09:29:00.000000000,1767576540000000000,100240,100260,100170,100180,528,210728,210797
2026-01-05 09:30:00.000000000,1767576600000000000,100180,100300,100070,100140,710,210797,210898
2026-01-05 09:31:00.000000000,1767576660000000000,100140,100140,99910,99970,1086,210898,210798
2026-01-05 09:32:00.000000000,1767576720000000000,99970,100080,99940,100050,749,210798,210763
2026-01-05 09:33:00.000000000,1767576780000000000,100050,100180,100000,100100,608,210763,210695
2026-01-05 09:34:00.000000000,1767576840000000000,100100,100100,99950,100000,528,210695,210734
2026-01-05 09:35:00.000000000,1767576900000000000,100000,100130,99970,100120,665,210734,210664
2026-01-05 09:36:00.000000000,1767576960000000000,100120,100260,100090,100240,525,210664,210688
2026-01-05 09:37:00.000000000,1767577020000000000,100240,100360,100240,100310,1601,210688,211088
2026-01-05 09:38:00.000000000,1767577080000000000,100310,100340,100230,100240,853,211088,211375
2026-01-05 09:39:00.000000000,1767577140000000000,100240,100400,100220,100400,995,211375,211591
2026-01-05 09:40:00.000000000,1767577200000000000,100400,100450,100300,100410,1391,211591,211691
2026-01-05 09:41:00.000000000,1767577260000000000,100410,100490,100390,100490,949,211691,211836
