datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,99210,100140,99040,100140,572,26945,26868
2026-01-05 09:01:00.000000000,1767574860000000000,100140,100140,99540,99720,391,26868,26810
2026-01-05 09:02:00.000000000,1767574920000000000,99720,99820,99430,99440,134,26810,26840
2026-01-05 09:03:00.000000000,1767574980000000000,99440,99790,99390,99590,145,26840,26900
2026-01-05 09:04:00.000000000,1767575040000000000,99590,100170,99540,100170,195,26900,26859
2026-01-05 09:05:00.000000000,1767575100000000000,100170,100180,99820,99980,245,26859,26883
2026-01-05 09:06:00.000000000,1767575160000000000,99980,100220,99960,100160,127,26883,26898
2026-01-05 09:07:00.000000000,1767575220000000000,100160,100430,100130,100330,174,26898,26925
2026-01-05 09:08:00.000000000,1767575280000000000,100330,100370,100090,100230,146,26925,26922
2026-01-05 09:09:00.000000000,1767575340000000000,100230,100280,100100,100100,51,26922,26932
2026-01-05 09:10:00.000000000,1767575400000000000,100100,100160,99800,99880,98,26932,26921
2026-01-05 09:11:00.000000000,1767575460000000000,99880,99880,99700,99770,73,26921,26913
2026-01-05 09:12:00.000000000,1767575520000000000,99770,99790,99550,99610,99,26913,26921
2026-01-05 09:13:00.000000000,1767575580000000000,99610,99780,99600,99650,53,26921,26929
2026-01-05 09:14:00.000000000,1767575640000000000,99650,99910,99620,99900,53,26929,26944
2026-01-05 09:15:00.000000000,1767575700000000000,99900,99980,99840,99890,74,26944,26973
2026-01-05 09:16:00.000000000,1767575760000000000,99890,100170,99890,100020,78,26973,26975
2026-01-05 09:17:00.000000000,1767575820000000000,100020,100020,99740,99810,106,26975,26983
2026-01-05 09:18:00.000000000,1767575880000000000,99810,99890,99710,99820,45,26983,26994
2026-01-05 09:19:00.000000000,1767575940000000000,99820,99820,99630,99700,50,26994,26996
2026-01-05 09:20:00.000000000,1767576000000000000,99700,99860,99610,99860,51,26996,27002
2026-01-05 09:21:00.000000000,1767576060000000000,99860,100030,99860,99990,35,27002,27010
2026-01-05 09:22:00.000000000,1767576120000000000,99990,100100,99980,100100,33,27010,27011
2026-01-05 09:23:00.000000000,1767576180000000000,100100,100120,100030,100030,56,27011,27019
2026-01-05 09:24:00.000000000,1767576240000000000,100030,100120,99970,100120,43,27019,27020
2026-01-05 09:25:00.000000000,1767576300000000000,100120,100260,100120,100210,49,27020,27030
2026-01-05 09:26:00.000000000,1767576360000000000,100210,100280,100060,100190,57,27030,27022
2026-01-05 09:27:00.000000000,1767576420000000000,100190,100190,100010,100110,54,27022,27015
2026-01-05 09:28:00.000000000,1767576480000000000,100110,100260,100110,100230,61,27015,27027
2026-01-05 09:29:00.000000000,1767576540000000000,100230,100260,100180,100200,43,27027,27021
2026-01-05 09:30:00.000000000,1767576600000000000,100200,100290,100080,100120,38,27021,27024
2026-01-05 09:31:00.000000000,1767576660000000000,100120,100150,99910,99930,68,27024,27026
2026-01-05 09:32:00.000000000,1767576720000000000,99930,100070,99930,100030,33,27026,27026
2026-01-05 09:33:00.000000000,1767576780000000000,100030,100120,100000,100070,33,27026,27020
2026-01-05 09:34:00.000000000,1767576840000000000,100070,100070,99950,99980,35,27020,27029
2026-01-05 09:35:00.000000000,1767576900000000000,99980,100130,99950,100090,38,27029,27037
2026-01-05 09:36:00.000000000,1767576960000000000,100090,100220,100090,100220,34,27037,27038
2026-01-05 09:37:00.000000000,1767577020000000000,100220,100300,100210,100260,46,27038,27030
2026-01-05 09:38:00.000000000,1767577080000000000,100260,100290,100180,100240,30,27030,27033
2026-01-05 09:39:00.000000000,1767577140000000000,100240,100360,100210,100330,60,27033,27030
2026-01-05 09:40:00.000000000,1767577200000000000,100330,100390,100260,100390,55,27030,27050
2026-01-05 09:41:00.000000000,1767577260000000000,100390,100430,100340,100430,53,27050,27038
2026-01-05 09:42:00.000000000,1767577320000000000,100430,100430,100240,100330,37,27038,27034
2026-01-05 09:43:00.000000000,1767577380000000000,100330,100330,100230,100270,10,27034,27035
2026-01-05 09:44:00.000000000,1767577440000000000,100270,100340,100270,100320,5,27035,27038
2026-01-05 09:45:00.000000000,1767577500000000000,100320,100470,100320,100450,24,27038,27044
2026-01-05 09:46:00.000000000,1767577560000000000,100450,100500,100450,100460,13,27044,27046
2026-01-05 09:47:00.000000000,1767577620000000000,100460,100720,100460,100690,68,27046,27041
2026-01-05 09:48:00.000000000,1767577680000000000,100690,100750,100620,100640,60,27041,27045
2026-01-05 09:49:00.000000000,1767577740000000000,100640,100820,100580,100730,63,27045,27052
2026-01-05 09:50:00.000000000,1767577800000000000,100730,100760,100390,100390,82,27052,27058
2026-01-05 09:51:00.000000000,1767577860000000000,100390,100610,100390,100600,38,27058,27061
2026-01-05 09:52:00.000000000,1767577920000000000,100600,100610,100490,100530,26,27061,27062
2026-01-05 09:53:00.000000000,1767577980000000000,100530,100640,100450,100610,56,27062,27073
2026-01-05 09:54:00.000000000,1767578040000000000,100610,100720,100610,100680,17,27073,27071
2026-01-05 09:55:00.000000000,1767578100000000000,100680,100680,100480,100550,37,27071,27063
2026-01-05 09:56:00.000000000,1767578160000000000,100550,100550,100410,100430,50,27063,27068
2026-01-05 09:57:00.000000000,1767578220000000000,100430,100470,100370,100380,53,27068,27076
2026-01-05 09:58:00.000000000,1767578280000000000,100380,100560,100380,100560,26,27076,27083
2026-01-05 09:59:00.000000000,1767578340000000000,100560,100660,100560,100590,9,27083,27084
