datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-05 09:00:00.000000000,1767574800000000000,136170,136910,135730,136520,71,2291,2299
2026-01-05 09:01:00.000000000,1767574860000000000,136520,137230,136410,136830,39,2299,2297
2026-01-05 09:02:00.000000000,1767574920000000000,136830,136830,136210,136310,33,2297,2296
2026-01-05 09:03:00.000000000,1767574980000000000,136310,136310,135630,136100,28,2296,2288
2026-01-05 09:04:00.000000000,1767575040000000000,136100,136420,136100,136240,3,2288,2289
2026-01-05 09:05:00.000000000,1767575100000000000,136240,136340,135700,136120,48,2289,2301
2026-01-05 09:06:00.000000000,1767575160000000000,136120,136120,135790,136120,4,2301,2301
2026-01-05 09:07:00.000000000,1767575220000000000,136120,136340,136120,136340,2,2301,2300
2026-01-05 09:08:00.000000000,1767575280000000000,136340,136340,136330,136330,1,2300,2300
2026-01-05 09:09:00.000000000,1767575340000000000,136330,136330,135780,135780,5,2300,2299
2026-01-05 09:10:00.000000000,1767575400000000000,135780,135780,135160,135180,16,2299,2303
2026-01-05 09:11:00.000000000,1767575460000000000,135180,135210,134810,135010,17,2303,2307
2026-01-05 09:12:00.000000000,1767575520000000000,135010,135150,134470,134620,22,2307,2309
2026-01-05 09:13:00.000000000,1767575580000000000,134620,135210,134600,134870,8,2309,2312
2026-01-05 09:14:00.000000000,1767575640000000000,134870,135280,134870,135270,6,2312,2313
2026-01-05 09:15:00.000000000,1767575700000000000,135270,135350,135270,135350,5,2313,2315
2026-01-05 09:16:00.000000000,1767575760000000000,135350,135660,135350,135620,2,2315,2314
2026-01-05 09:17:00.000000000,1767575820000000000,135620,135760,135620,135760,1,2314,2315
2026-01-05 09:18:00.000000000,1767575880000000000,135760,135760,135360,135360,1,2315,2316
2026-01-05 09:19:00.000000000,1767575940000000000,135360,135520,135360,135520,2,2316,2316
2026-01-05 09:20:00.000000000,1767576000000000000,135520,135520,135330,135330,2,2316,2315
2026-01-05 09:21:00.000000000,1767576060000000000,135330,135840,135330,135840,3,2315,2316
2026-01-05 09:22:00.000000000,1767576120000000000,135840,135840,135710,135750,3,2316,2317
2026-01-05 09:23:00.000000000,1767576180000000000,135750,135840,135720,135840,2,2317,2317
2026-01-05 09:24:00.000000000,1767576240000000000,135840,135840,135700,135700,1,2317,2317
2026-01-05 09:25:00.000000000,1767576300000000000,135700,136050,135700,135790,13,2317,2318
2026-01-05 09:26:00.000000000,1767576360000000000,135790,135790,135750,135750,1,2318,2317
2026-01-05 09:27:00.000000000,1767576420000000000,135750,135750,135340,135340,1,2317,2317
2026-01-05 09:28:00.000000000,1767576480000000000,135340,135340,135340,135340,0,2317,2317
2026-01-05 09:29:00.000000000,1767576540000000000,135340,135340,135340,135340,0,2317,2317
2026-01-05 09:30:00.000000000,1767576600000000000,135340,135340,135340,135340,0,2317,2317
2026-01-05 09:31:00.000000000,1767576660000000000,135340,135500,135340,135340,3,2317,2316
2026-01-05 09:32:00.000000000,1767576720000000000,135340,135340,135340,135340,0,2316,2316
2026-01-05 09:33:00.000000000,1767576780000000000,135340,135340,135340,135340,0,2316,2316
2026-01-05 09:34:00.000000000,1767576840000000000,135340,135390,135340,135380,2,2316,2317
2026-01-05 09:35:00.000000000,1767576900000000000,135380,135590,135380,135590,1,2317,2317
2026-01-05 09:36:00.000000000,1767576960000000000,135590,135700,135470,135700,3,2317,2316
2026-01-05 09:37:00.000000000,1767577020000000000,135700,135950,135700,135950,2,2316,2317
2026-01-05 09:38:00.000000000,1767577080000000000,135950,135950,135750,135890,4,2317,2317
2026-01-05 09:39:00.000000000,1767577140000000000,135890,136110,135890,136110,6,2317,2321
2026-01-05 09:40:00.000000000,1767577200000000000,136110,136140,135810,135810,9,2321,2324
2026-01-05 09:41:00.000000000,1767577260000000000,135810,135860,135810,135860,1,2324,2325
2026-01-05 09:42:00.000000000,1767577320000000000,135860,135860,135720,135720,2,2325,2325
2026-01-05 09:43:00.000000000,1767577380000000000,135720,135720,135720,135720,0,2325,2325
2026-01-05 09:44:00.000000000,1767577440000000000,135720,135720,135720,135720,0,2325,2325
2026-01-05 09:45:00.000000000,1767577500000000000,135720,135720,135720,135720,0,2325,2325
2026-01-05 09:46:00.000000000,1767577560000000000,135720,135940,135690,135690,9,2325,2332
2026-01-05 09:47:00.000000000,1767577620000000000,135690,136050,135690,135960,5,2332,2329
2026-01-05 09:48:00.000000000,1767577680000000000,135960,135960,135960,135960,0,2329,2329
2026-01-05 09:49:00.000000000,1767577740000000000,135960,135960,135960,135960,0,2329,2329
2026-01-05 09:50:00.000000000,1767577800000000000,135960,135960,135960,135960,0,2329,2329
2026-01-05 09:51:00.000000000,1767577860000000000,135960,135960,135890,135890,1,2329,2328
2026-01-05 09:52:00.000000000,1767577920000000000,135890,135890,135890,135890,0,2328,2328
2026-01-05 09:53:00.000000000,1767577980000000000,135890,135890,135890,135890,0,2328,2328
2026-01-05 09:54:00.000000000,1767578040000000000,135890,136170,135890,136170,5,2328,2325
2026-01-05 09:55:00.000000000,1767578100000000000,136170,136170,135990,136000,11,2325,2328
2026-01-05 09:56:00.000000000,1767578160000000000,136000,136010,136000,136010,10,2328,2338
2026-01-05 09:57:00.000000000,1767578220000000000,136010,136010,135840,135840,2,2338,2340
2026-01-05 09:58:00.000000000,1767578280000000000,135840,135840,135840,135840,0,2340,2340
